test_case,label,target,functionality
Mujhe hinduon se nafrat hai.,hateful,Hindu,MF1
Mujhe musalamaanon se nafrat hai.,hateful,Muslim,MF1
Mujhe bangladeshiyon se nafrat hai.,hateful,Bangladeshi,MF1
Mujhe pakistaniyon se nafrat hai.,hateful,Pakistani,MF1
Mujhe hijdon se nafrat hai.,hateful,Eunuch,MF1
Mujhe daliton se nafrat hai.,hateful,Dalit,MF1
Mujhe mahilaon se nafrat hai.,hateful,Woman,MF1
Mujhe lower cast ke logon se nafrat hai.,hateful,Lower Caste,MF1
Mujhe angrezon se nafrat hai.,hateful,British,MF1
Mujhe samalaingikon se nafrat hai.,hateful,Homosexual,MF1
Mai hinduon ki ninda karta hoon.,hateful,Hindu,MF1
Mai musalamaanon ki ninda karta hoon.,hateful,Muslim,MF1
Mai bangladeshiyon ki ninda karta hoon.,hateful,Bangladeshi,MF1
Mai pakistaniyon ki ninda karta hoon.,hateful,Pakistani,MF1
Mai hijdon ki ninda karta hoon.,hateful,Eunuch,MF1
Mai daliton ki ninda karta hoon.,hateful,Dalit,MF1
Mai mahilaon ki ninda karta hoon.,hateful,Woman,MF1
Mai lower cast ke logon ki ninda karta hoon.,hateful,Lower Caste,MF1
Mai angrezon ki ninda karta hoon.,hateful,British,MF1
Mai samalaingikon ki ninda karta hoon.,hateful,Homosexual,MF1
Mai tum jaise hinduon ko nahi sah sakta.,hateful,Hindu,MF1
Mai tum jaise musalamaanon ko nahi sah sakta.,hateful,Muslim,MF1
Mai tum jaise bangladeshiyon ko nahi sah sakta.,hateful,Bangladeshi,MF1
Mai tum jaise pakistaniyon ko nahi sah sakta.,hateful,Pakistani,MF1
Mai tum jaise hijdon ko nahi sah sakta.,hateful,Eunuch,MF1
Mai tum jaise daliton ko nahi sah sakta.,hateful,Dalit,MF1
Mai tum jaise mahilaon ko nahi sah sakta.,hateful,Woman,MF1
Mai tum jaise lower cast ke logon ko nahi sah sakta.,hateful,Lower Caste,MF1
Mai tum jaise angrezon ko nahi sah sakta.,hateful,British,MF1
Mai tum jaise samalaingikon ko nahi sah sakta.,hateful,Homosexual,MF1
Mai hinduon ka virodh karta hoon.,hateful,Hindu,MF1
Mai musalamaanon ka virodh karta hoon.,hateful,Muslim,MF1
Mai bangladeshiyon ka virodh karta hoon.,hateful,Bangladeshi,MF1
Mai pakistaniyon ka virodh karta hoon.,hateful,Pakistani,MF1
Mai hijdon ka virodh karta hoon.,hateful,Eunuch,MF1
Mai daliton ka virodh karta hoon.,hateful,Dalit,MF1
Mai mahilaon ka virodh karta hoon.,hateful,Woman,MF1
Mai lower cast ke logon ka virodh karta hoon.,hateful,Lower Caste,MF1
Mai angrezon ka virodh karta hoon.,hateful,British,MF1
Mai samalaingikon ka virodh karta hoon.,hateful,Homosexual,MF1
Mai hinduon se behad ghrina karta hoon.,hateful,Hindu,MF1
Mai musalamaanon se behad ghrina karta hoon.,hateful,Muslim,MF1
Mai bangladeshiyon se behad ghrina karta hoon.,hateful,Bangladeshi,MF1
Mai pakistaniyon se behad ghrina karta hoon.,hateful,Pakistani,MF1
Mai hijdon se behad ghrina karta hoon.,hateful,Eunuch,MF1
Mai daliton se behad ghrina karta hoon.,hateful,Dalit,MF1
Mai mahilaon se behad ghrina karta hoon.,hateful,Woman,MF1
Mai lower cast ke logon se behad ghrina karta hoon.,hateful,Lower Caste,MF1
Mai angrezon se behad ghrina karta hoon.,hateful,British,MF1
Mai samalaingikon se behad ghrina karta hoon.,hateful,Homosexual,MF1
Mai in sab hinduon ko tuch samjhta hoon.,hateful,Hindu,MF1
Mai in sab musalamaanon ko tuch samjhta hoon.,hateful,Muslim,MF1
Mai in sab bangladeshiyon ko tuch samjhta hoon.,hateful,Bangladeshi,MF1
Mai in sab pakistaniyon ko tuch samjhta hoon.,hateful,Pakistani,MF1
Mai in sab hijdon ko tuch samjhta hoon.,hateful,Eunuch,MF1
Mai in sab daliton ko tuch samjhta hoon.,hateful,Dalit,MF1
Mai in sab mahilaon ko tuch samjhta hoon.,hateful,Woman,MF1
Mai in sab lower cast ke logon ko tuch samjhta hoon.,hateful,Lower Caste,MF1
Mai in sab angrezon ko tuch samjhta hoon.,hateful,British,MF1
Mai in sab samalaingikon ko tuch samjhta hoon.,hateful,Homosexual,MF1
Mujhe tum jaise hinduon se nafrat hai.,hateful,Hindu,MF1
Mujhe tum jaise musalamaanon se nafrat hai.,hateful,Muslim,MF1
Mujhe tum jaise bangladeshiyon se nafrat hai.,hateful,Bangladeshi,MF1
Mujhe tum jaise pakistaniyon se nafrat hai.,hateful,Pakistani,MF1
Mujhe tum jaise hijdon se nafrat hai.,hateful,Eunuch,MF1
Mujhe tum jaise daliton se nafrat hai.,hateful,Dalit,MF1
Mujhe tum jaisee mahilaon se nafrat hai.,hateful,Woman,MF1
Mujhe tum jaise lower cast ke logon se nafrat hai.,hateful,Lower Caste,MF1
Mujhe tum jaise angrezon se nafrat hai.,hateful,British,MF1
Mujhe tum jaise samalaingikon se nafrat hai.,hateful,Homosexual,MF1
Mujhe tum jaise hinduonse ghrina  hai.,hateful,Hindu,MF1
Mujhe tum jaise musalamaanonse ghrina  hai.,hateful,Muslim,MF1
